stadium,seat_name,note
창원,카운터석,"내야 상단에 위치한 좌석으로, 테이블이 제공되어 식사와 함께 경기를 관람할 수 있습니다."
대전(신),포수 후면석,"포수 바로 뒤에 위치하여 투수와 포수의 플레이를 가까이에서 볼 수 있는 생동감 있는 좌석"
대전(신),중앙 지정석,"경기장 중심에 위치하여 전체적인 흐름을 균형 있게 관람 가능, 시야 확보에 유리"
대전(신),중앙 탁자석,"중앙에 위치한 테이블석으로 음식과 함께 여유롭게 관람 가능"
대전(신),내야 지정석A,"선수들의 플레이를 가까이에서 볼 수 있는 대표적인 내야 좌석"
대전(신),내야 지정석B,"내야 전반을 넓게 조망할 수 있는 좌석, 경기 흐름 파악에 적합"
대전(신),카스존(응원단석),"응원단과 가까운 구역으로 열정적인 응원 분위기를 즐길 수 있는 자리"
대전(신),내야 박스석,"단체 관람에 적합한 프라이빗 공간 제공, 고급 관람을 원하는 관객에게 추천"
대전(신),내야 커플석,"2인용 커플 좌석, 편안한 분위기에서 데이트하며 관람 가능"
대전(신),내야 탁자석(4층),"4층 위치, 넓은 시야와 테이블 제공으로 여유로운 관람 가능"
대전(신),이닝스 VIP 바 & 룸/테라스,"프리미엄 서비스 제공, 고급 다이닝과 함께 경기를 즐길 수 있는 VIP 전용 구역"
대전(신),SKY BOX,"스카이박스 형태의 프라이빗 좌석, 단체 관람 및 기업용으로 적합"
대전(신),외야지정석,"외야 쪽 지정석, 홈런볼을 노리기에 좋은 위치"
대전(신),밤켈존(잔디석),"잔디석, 돗자리 지참 추천. 피크닉처럼 즐기기 좋고 가족 단위 관람에 인기"
대전(신),외야탁자석,"외야 테이블석, 간식과 함께 여유롭게 관람 가능한 자리"
고척,R.d-club,"중앙 내야 하단 최상위 프리미엄 존, 전용 서비스 및 안락한 좌석 제공"
고척,LEXUS 1층 테이블석,"1루 측 내야 테이블석, 음식과 함께 편안하게 관람 가능"
고척,내야 커플석,"홈플레이트 양쪽 인필드 커플석, 나란히 앉아 관람 가능"
고척,다크버건디석,"1루/3루 쪽 내야 하단 응원석, 팀 색상 반영된 열정적인 분위기"
고척,3층 지정석,"3루·1루 측 중간 높이 일반 관람석, 전체 시야 확보에 유리"
고척,스카이박스,"상단 독립형 공간, 단체 및 기업용 프라이빗 관람석"
고척,NAVER 2층 테이블석,"홈플레이트 상단부에 위치한 중앙 테이블석, 뷰와 편의 모두 우수"
고척,외야 커플석,"좌·우 외야 사이드의 2인석, 홈런볼 포지션이 가까움"
고척,버건디석,"1/3루 쪽 일반석 응원구역, 팀 대표 컬러로 열정적인 분위기"
고척,4층 지정석,"가장 높은 층에 위치한 일반석, 경기 전체 조망 가능"
고척,외야 지정석,"외야 좌측과 우측 전반 구역, 가성비 좌석으로 홈런 타구 가능"
고척,외야 패밀리석,"외야 테이블석으로 구성된 가족 단위 좌석, 안전한 구조"
고척,외야 유아동반석,"유아 및 어린이 동반 관람객을 위한 외야 전용 공간, 유모차 등 이용 가능"
사직,애비뉴엘석,"홈플레이트 정중앙 최상위 프리미엄 좌석, 전용 라운지 및 좌석 제공"
사직,중앙탁자석,"내야 중앙부 테이블이 있는 좌석으로 식사와 관람을 동시에 즐길 수 있음"
사직,와이드탁자석,"3루 쪽 넓은 테이블석으로 가족 단위 관람에 적합"
사직,응원탁자석,"응원단과 가까운 구역의 테이블석으로 열정적인 응원 분위기에서 관람 가능"
사직,내야탁자석,"1루 쪽 내야 테이블석, 좌석 간 간격이 넓고 편의성이 높음"
사직,3루단체석,"3루 외야 인근의 단체 관람 전용 구역으로, 여러 명이 함께 보기 적합"
사직,로케트배터리존,"3루 중단에 위치한 브랜드 테마존, 가족·지인과 어울리기 좋은 구역"
사직,정관장 에브리타임존,"1루 내야 중앙 테마존, 쾌적한 좌석 환경과 브랜드 혜택 포함"
사직,내야필드석,"선수석 근처 필드 바로 앞 좌석, 현장감이 매우 뛰어난 프리미엄 존"
사직,내야상단석,"2층 내야 상단 블럭, 전체 시야를 확보할 수 있는 고지대 관람석"
사직,중앙상단석,"2층 중앙에 위치한 상단 좌석, 가격 대비 시야가 뛰어난 일반석"
사직,외야석,"외야 전체 구역, 홈런 볼 포지션 및 가성비 좌석으로 인기가 많음"
대구,VIP석,"포수 백네트 뒤 최상급 좌석, 시야 탁월. 2구역은 중계 카메라에 자주 노출"
대구,으뜸병원 중앙 테이블석,"VIP석 바로 뒤 중앙 테이블석, 중심 시야 확보에 유리"
대구,내야 테이블석,"1루/3루 내야 테이블석, 중앙보다 저렴하며 여유로운 관람 가능"
대구,내야 지정석,"1루/3루 내야 일반 지정석, 햇빛 유입 고려 필요. 1루 구역 비중이 큼"
대구,익사이팅석,"주루코치 뒤편 좌석, 현장감 높은 구역"
대구,블루존,"응원단상 앞, 가장 인기 있는 응원석. 7구역까지 존재하며 응원 열기 매우 뜨거움"
대구,SKY 하단 지정석,"내야 상단(어퍼덱) 3열, 시야 우수. 3루엔 전통 응원객 출몰 가능"
대구,1루 SKY 상단 지정석,"SKY 상단 지정석으로, SKY 자유석에서 지정석으로 전환된 1루 구역"
대구,3루 SKY 상단 지정석,"3루 쪽 SKY 상단 지정석, 자유석 이벤트 경험자들이 많은 구역"
대구,중앙 SKY 상단 지정석,"SKY 상단 중 중앙 구역. 아마추어 응원단 등장 가능"
대구,외야 패밀리석,"F1~F2 사이, 모래사장이 있는 가족 중심 구역. 아이들 활동 공간 제공"
대구,외야 지정석,"외야 전체 지정 좌석. 예전 자유석과 달리 모두 지정제"
대구,외야 테이블석(ML/MR존),"외야 펜스 뒤쪽 2~4인용 테이블석. 시야 제한 있음"
대구,외야 테이블석(TL/TR존),"외야 상단 테이블석. 경기장을 옆으로 보게 되는 경우 많음"
대구,루프탑 테이블석,"외야 루프탑 구역. 좌석+테이블 제공. 일부 구역 식음 서비스 포함"
대구,잔디석,"1루 내야 뒤편 경사면에 위치한 잔디 좌석. 돗자리 필요"
대구,SKY 요기보 패밀리존,"5층 SKY 구역에 있는 빈백소파 구역. 시야 넓고 비 피해 관람 가능"
수원,포수 뒤 테이블석,"구 명칭 지니존. 포수 바로 뒤 프리미엄 테이블석. 방송 중계에 얼굴 노출 가능"
수원,중앙 테이블석,"지니존 뒤 좌석. 시야는 유사하지만 가격은 더 저렴한 테이블석"
수원,1루 테이블석,"1루 내야 테이블석. 중앙 지정석 양 옆에 위치하며 3층까지 확장됨"
수원,3루 테이블석,"3루 내야 테이블석. 1루와 동일한 구조로 내야 전체를 커버"
수원,하이파이브존,"1루 익사이팅석. 경기 후 선수단과 하이파이브 가능한 특별 구역"
수원,익사이팅석,"3루 주루코치 뒤에 위치. 현장감이 높은 응원 전용 구역"
수원,중앙 지정석,"중앙 테이블석 뒤의 2~3층 좌석. 가격 대비 시야가 우수한 가성비 좌석"
수원,응원 지정석,"1루(107~110)·3루(121~122) 응원단상 앞. 불펜 훈련도 볼 수 있음"
수원,내야 지정석,"3루 응원석 외곽 좌석. 포스트시즌 시 응원석으로 통합 운영되기도 함"
수원,스카이존,"내야 4층 최상단 좌석. 시야는 탁월하지만 계단 이동 필요, 음식 배달 불가"
수원,외야 테이블석,"1루 외야 상단 테이블석. 시야 우수하며 식사 관람에 적합, 배달 불가"
수원,외야 잔디자유석,"계단식 구조의 자유석. 잔디 위 돗자리 또는 텐트 이용 가능, 나무계단은 통행 공간"
울산,프리미엄석,"홈플레이트 뒤 고급 좌석. 시야가 뛰어나며 전용 좌석 서비스 제공"
울산,중앙테이블,"내야 중앙부에 위치한 테이블석으로, 음식을 즐기며 편안하게 관람 가능"
울산,미니테이블,"내야 양 옆측 소규모 테이블석. 커플 또는 소그룹에 적합"
울산,내야석,"1루/3루 내야 전반 구역. 일반 관람객용 지정석"
울산,외야자유석,"외야 구역 자유석. 돗자리 이용 가능하며 홈런볼 기대 가능"
울산,스카이박스,"구장 상층 프라이빗 박스석. 단체 관람, 기업용 이벤트에 적합"
울산,바베큐석,"외야 또는 테이블 존에 마련된 바베큐 가능 좌석. 음식과 함께 관람 특화"
울산,스탠딩석,"외야 펜스 쪽 혹은 응원단 근처의 스탠딩 구역. 자유로운 관람 및 응원 가능"
울산,커플석,"2인 전용 좌석으로 나란히 앉아 경기를 관람할 수 있는 로맨틱 구역"
포항,1층 중앙테이블석,"1층 홈플레이트 뒤쪽 중앙 테이블석, 음식을 즐기며 경기 관람 가능"
포항,1층 중앙지정석,"1층 내야 중앙 지정석, 경기장 중심에서 시야 우수"
포항,2층 1루테이블석,"2층 1루 측 테이블석, 시야 넓고 가족 단위 관람에 적합"
포항,2층 3루테이블석,"2층 3루 측 테이블석, 편안하게 식사하며 관람 가능"
포항,2층 중앙지정석,"2층 중앙에 위치한 일반 지정석, 시야 균형 우수"
포항,2층 1루내야지정석,"2층 1루 쪽 내야 지정석, 응원단 가까운 구역"
포항,2층 3루내야지정석,"2층 3루 쪽 내야 지정석, 불펜 관찰 가능 구역"
포항,3층 중앙 지정석,"3층 최상단 중앙 지정석, 경기장 전체 조망에 적합"
포항,3층 1루내야지정석,"3층 1루 내야 구역, 고도에서 응원과 함께 관람"
포항,3층 3루내야지정석,"3층 3루 내야 구역, 넓은 시야와 응원에 적합"
포항,외야그린석(좌),"좌측 외야 잔디석, 돗자리 이용 가능, 홈런볼 노리기 좋은 구역"
포항,외야그린석(우),"우측 외야 잔디석, 자유로운 관람과 피크닉에 적합"
